QID,wei_1,wei_2,wei_3
Q25_C4,0,0,0
Q26_C1,0.2237808671,0.2342179361,0.2249233872
Q26_C2,0.09779801577,0.1034124072,0.09686350833
Q26_C3,1,1,1
Q26_C4,0.4618149241,0.4630672548,0.4570480136
Q26_C5,0.6149650835,0.6192307014,0.6143363924
Q26_C6,0,0,0
Q26_C7,0,0,0
Q27_C1,0,0,0
Q27_C2,0,0,0
Q27_C3,0,0,0
Q27_C4,0,0,0
Q28_C1,0,0,0
Q28_C2,0,0,0
Q28_C3,0,0,0
Q29_C1,0,0,0
Q29_C2,0,0,0
Q29_C3,0,0,0
Q29_C4,0,0,0
Q29_C5,0,0,0
Q30_C1,0,0,0
Q30_C2,0,0,0
Q30_C3,0.5698724294,0.5624873434,0.5674751928
Q30_C4,0,0,0
Q30_C5,1,1,1
Q30_C6,0.5698724294,0.5624873434,0.5674751928
Q31_C1,0,0,0
Q31_C2,0,0,0
Q31_C3,0,0,0
Q31_C4,0.3058694345,0.308781719,0.3066422159
Q31_C5,1,1,1
Q31_C6,0.6941305655,0.691218281,0.6933577841
Q31_C7,0,0,0
Q31_C8,0,0,0
Q32_C1,0,0,0
Q32_C2,0,0,0
Q32_C3,0,0,0
Q32_C4,0,0,0
Q32_C5,0,0,0
Q33_C1,0,0,0
Q33_C2,1,1,1
Q33_C3,0,0,0
Q33_C4,0,0,0
Q34_C1,0,0,0
Q34_C2,0,0,0
Q34_C3,0,0,0
Q35_C1,0,0,0
Q35_C2,0,0,0
Q35_C3,0,0,0
Q35_C4,0,0,0
Q35_C5,0,0,0
Q35_C6,0,0,0
Q35_C7,0,0,0
Q35_C8,0,0,0
Q35_C9,0,0,0
Q35_C10,0,0,0
Q35_C11,0,0,0
Q35_C12,0,0,0
Q35_C13,0,0,0
Q35_C14,1,1,1
Q35_C15,0,0,0
Q35_C16,0,0,0
Q35_C17,0,0,0
Q35_C18,1,1,1
Q35_C19,0,0,0
Q35_C20,0,0,0
Q36_C1,0,0,0
Q36_C2,1,1,1
Q36_C3,0,0,0
Q36_C4,0.3677731115,0.4011154859,0.3797847907
Q37_C1,1,1,1
Q37_C2,1,1,1
Q37_C3,0,0,0
Q37_C4,0.4864704254,0.4698406999,0.4866174252
Q37_C5,0,0,0
Q38_C1,0,0,0
Q38_C2,0,0,0
Q38_C3,0,0,0
Q38_C4,0,0,0
Q38_C5,0,0,0
Q38_C6,0,0,0
Q39_C1,0,0,0
Q39_C2,0,0,0
Q39_C3,0,0,0
Q39_C4,0,0,0
Q39_C5,0,0,0
Q40_C1,0,0,0
Q40_C2,0.3433925542,0.356829581,0.3443147007
Q40_C3,1,1,1
Q40_C4,1,1,1
Q41_C1,0,0,0
Q42_C1,0,0,0
Q42_C2,1,1,1
Q42_C3,1,1,1
Q42_C4,0,0,0
Q42_C5,0,0,0
Q43_C1,0,0,0
Q43_C2,0,0,0
Q43_C3,0,0,0
Q43_C4,0,0,0
Q43_C5,0,0,0
Q44_C1,0.6270456976,0.6145636128,0.6216730229
Q44_C2,0.3729543024,0.3854363872,0.3783269771
Q44_C3,0,0,0
Q44_C4,1,1,1
Q45_C1,0,0,0
Q45_C2,0,0,0
Q45_C3,0,0,0
Q45_C4,0,0,0
Q45_C5,0,0,0
Q46_C1,0,0,0
Q46_C2,0,0,0
Q46_C3,0,0,0
Q47_C1,0,0,0
Q48_C1,0,0,0
Q48_C2,0,0,0
Q48_C3,0,0,0
Q48_C4,0,0,0
Q48_C5,0,0,0
Q48_C6,0,0,0
Q49_C1,1,1,1
Q49_C2,0,0,0
Q49_C3,0,0,0
Q49_C4,1,1,1
Q50_C1,0,0,0
Q51_C1,0,0,0
Q51_C2,1,1,1
Q51_C3,0,0,0
Q52_C1,0,0,0
Q52_C2,0,0,0
Q52_C3,0,0,0
Q52_C4,0,0,0
Q52_C5,0,0,0
Q53_C1,0,0,0
Q53_C2,0,0,0
Q53_C3,0,0,0
Q53_C4,0,0,0
Q53_C5,0,0,0
Q54_C1,0,0,0
Q55_C1,1,1,1
Q55_C2,1,1,1
Q55_C3,1,1,1
Q55_C4,0,0,0
Q56_C1,1,1,1
Q56_C2,1,1,1
Q56_C3,0,0,0
Q57_C1,0,0,0
Q58_C1,0,0,0
Q59_C1,0,0,0
Q60_C1,0,0,0
Q60_C2,0,0,0
Q61_C1,0,0,0
Q61_C2,0,0,0
Q61_C3,0,0,0
Q61_C4,0,0,0
Q61_C5,0,0,0
Q62_C1,0,0,0
Q62_C2,0,0,0
Q62_C3,0,0,0
Q62_C4,0,0,0
Q63_C1,0,0,0
Q63_C2,0,0,0
Q63_C3,0,0,0
Q63_C4,0,0,0
Q63_C5,0,0,0
Q63_C6,0,0,0
Q63_C7,0,0,0
Q63_C8,0,0,0
Q64_C1,0,0,0
Q64_C2,0,0,0
Q64_C3,0,0,0
Q65_C1,0,0,0
Q65_C2,0,0,0
Q65_C3,0,0,0
Q65_C4,0,0,0
Q65_C5,0,0,0
Q65_C6,0,0,0
Q66_C1,0,0,0
Q66_C2,0,0,0
Q66_C3,0,0,0
Q66_C4,0,0,0
Q66_C5,0,0,0
Q67_C1,0,0,0
Q67_C2,0.4369510821,0.4597177149,0.4422621693
Q67_C3,1,1,1
Q67_C4,0.5630489179,0.5402822851,0.5577378307
Q67_C5,0,0,0
Q67_C6,0,0,0
Q68_C1,0,0,0
Q69_C1,0,0,0
Q70_C1,0,0,0
Q70_C2,0,0,0
Q70_C3,0,0,0
Q70_C4,0,0,0
Q70_C5,0,0,0
Q70_C6,0,0,0
Q70_C7,0,0,0
Q70_C8,0,0,0
Q70_C9,0,0,0
Q70_C10,0,0,0
Q70_C11,0,0,0
Q70_C12,0,0,0
Q71_C1,0,0,0
Q72_C1,0.4290886232,0.4360427322,0.4278893422
Q72_C2,1,1,1
Q72_C3,0.4290886232,0.4360427322,0.4278893422
Q72_C4,0,0,0
Q72_C5,0,0,0
Q72_C6,0,0,0
Q72_C7,0.5709113768,0.5639572678,0.5721106578
Q72_C8,0,0,0
Q72_C9,1,1,1
Q72_C10,1,1,1
Q72_C11,1,1,1
Q73_C1,0,0,0
Q73_C2,0,0,0
Q73_C3,0,0,0
Q73_C4,0,0,0
Q73_C5,0,0,0
Q73_C6,0,0,0
Q74_C1,0,0,0
Q74_C2,0,0,0
Q74_C3,0,0,0
Q75_C1,0,0,0
Q75_C2,0,0,0
Q75_C3,0,0,0
Q75_C4,0,0,0
Q75_C5,0,0,0
Q75_C6,0,0,0
Q75_C7,0,0,0
Q75_C8,0,0,0
Q75_C9,0,0,0
Q75_C10,0,0,0
Q75_C11,0,0,0
Q75_C12,0,0,0
Q75_C13,0,0,0
Q76_C1,1,1,1
Q76_C2,0,0,0
Q76_C3,0,0,0
Q76_C4,0,0,0
Q76_C5,1,1,1
Q77_C1,0,0,0
Q77_C2,0,0,0
Q77_C3,0,0,0
Q78_C1,0,0,0
Q78_C2,0,0,0
Q78_C3,0,0,0
Q78_C4,0,0,0
Q79_C1,0,0,0
Q80_C1,0,0,0
Q80_C2,0,0,0
Q81_C1,0,0,0
Q81_C2,0,0,0
Q81_C3,0,0,0
Q81_C4,0,0,0
Q81_C5,0,0,0
Q81_C6,0,0,0
Q82_C1,0,0,0
Q82_C2,0,0,0
Q82_C3,0,0,0
Q82_C4,0,0,0
Q82_C5,0,0,0
Q82_C6,0,0,0
Q82_C7,0,0,0
Q82_C8,1,1,1
Q82_C9,0.5918013729,0.5821970003,0.5886463398
Q82_C10,0.4081986271,0.4178029997,0.4113536602
Q82_C11,0,0,0
Q82_C12,0.4081986271,0.4178029997,0.4113536602
Q82_C13,0.4081986271,0.4178029997,0.4113536602
Q82_C14,0.4081986271,0.4178029997,0.4113536602
Q82_C15,0,0,0
Q82_C16,1,1,1
Q82_C17,0.4081986271,0.4178029997,0.4113536602
Q82_C18,0,0,0
Q82_C19,0,0,0
Q82_C20,0,0,0
Q82_C21,0,0,0
Q82_C22,0.5918013729,0.5821970003,0.5886463398
Q82_C23,0,0,0
Q82_C24,0,0,0
Q82_C25,0,0,0
Q82_C26,0,0,0
Q82_C27,0,0,0
Q82_C28,0,0,0
Q82_C29,0,0,0
Q82_C30,0,0,0
Q82_C31,0.4081986271,0.4178029997,0.4113536602
Q82_C32,0,0,0
Q82_C33,0,0,0
Q82_C34,0.5918013729,0.5821970003,0.5886463398
Q82_C35,0,0,0
Q82_C36,0,0,0
Q82_C37,0,0,0
Q82_C38,0,0,0
Q82_C39,0,0,0
Q82_C40,0,0,0
Q83_C1,0.6515519234,0.6455733653,0.6514255415
Q83_C2,0.3484480766,0.3544266347,0.3485744585
Q83_C3,0,0,0
Q83_C4,0.6515519234,0.6455733653,0.6514255415
Q83_C5,1,1,1
Q83_C6,0,0,0
Q83_C7,0.6515519234,0.6455733653,0.6514255415
Q83_C8,0,0,0
Q83_C9,0,0,0
Q83_C10,0,0,0
Q83_C11,0.3484480766,0.3544266347,0.3485744585
Q83_C12,0.6515519234,0.6455733653,0.6514255415
Q83_C13,0,0,0
Q83_C14,1,1,1
Q84_C1,1,1,1
Q84_C2,0,0,0
Q84_C3,0,0,0
Q84_C4,0,0,0
Q84_C5,0,0,0
Q84_C6,0,0,0
Q84_C7,0,0,0
Q84_C8,0.4576618357,0.4621557063,0.4600596845
Q85_C1,1,1,1
Q85_C2,0,0,0
Q85_C3,0,0,0
Q85_C4,0,0,0
Q85_C5,0,0,0
Q86_C1,0,0,0
Q87_C1,0,0,0
Q87_C2,0,0,0
Q87_C3,0,0,0
Q88_C1,0,0,0
Q88_C2,0,0,0
Q88_C3,0,0,0
Q88_C4,0,0,0
Q88_C5,0,0,0
Q88_C6,0,0,0
Q88_C7,0,0,0
Q88_C8,0,0,0
Q88_C9,0,0,0
Q88_C10,0,0,0
Q89_C1,0,0,0
Q89_C2,0,0,0
Q89_C3,0,0,0
Q90_C1,0,0,0
Q91_C1,0,0,0
Q91_C2,0,0,0
Q91_C3,0,0,0
Q92_C1,0,0,0
Q92_C2,0,0,0
Q92_C3,0,0,0
Q92_C4,0,0,0
Q92_C5,0,0,0
Q93_C1,0,0,0
Q93_C2,0,0,0
Q93_C3,0,0,0
Q93_C4,0,0,0
Q94_C1,0,0,0
Q94_C2,0,0,0
Q94_C3,0,0,0
Q94_C4,1,1,1
Q94_C5,0.2758378713,0.2808535316,0.2770259627
Q94_C6,0,0,0
Q94_C7,0.356763763,0.3546645976,0.3550016074
Q94_C8,0,0,0
Q94_C9,1,1,1
Q94_C10,0.3589006301,0.356575051,0.3588561313
Q94_C11,0,0,0
Q94_C12,0,0,0
Q94_C13,0,0,0
Q94_C14,0,0,0
Q94_C15,0,0,0
Q94_C16,0,0,0
Q94_C17,0,0,0
Q94_C18,0.356763763,0.3546645976,0.3550016074
Q94_C19,0.2287986161,0.2361929958,0.2296218254
Q94_C20,0,0,0
Q94_C21,0,0,0
Q94_C22,0,0,0
Q94_C23,0,0,0
Q95_C1,0,0,0
Q95_C2,0,0,0
Q95_C3,0,0,0
Q96_C1,0.5734871127,0.6056116691,0.573983907
Q96_C2,1,1,1
Q96_C3,0,0,0
Q97_C1,0.4186941098,0.4272180927,0.423524095
Q97_C2,0,0,0
Q97_C3,0,0,0
Q97_C4,0,0,0
Q97_C5,0,0,0
Q97_C6,1,1,1
Q98_C1,0,0,0
Q98_C2,0,0,0
Q98_C3,0,0,0
Q98_C4,0,0,0
Q98_C5,0,0,0
Q98_C6,0,0,0
Q99_C1,0,0,0
Q99_C2,0,0,0
Q99_C3,0,0,0
Q99_C4,0,0,0
Q99_C5,0,0,0
Q99_C6,0,0,0
Q99_C7,0,0,0
Q99_C8,0,0,0
Q99_C9,0,0,0
Q100_C1,0,0,0
Q100_C2,0,0,0
Q100_C3,0,0,0
Q100_C4,0,0,0
Q100_C5,0,0,0
Q100_C6,0,0,0
Q100_C7,0,0,0
Q100_C8,0,0,0
Q100_C9,0,0,0
Q100_C10,0,0,0
Q100_C11,1,1,1
Q101_C1,0,0,0
Q101_C2,0,0,0
Q101_C3,0,0,0
Q101_C4,0,0,0
Q102_C1,0,0,0
Q102_C2,0,0,0
Q102_C3,1,1,1
Q102_C4,0,0,0
Q102_C5,0,0,0
Q103_C1,0,0,0
Q103_C2,0,0,0
Q103_C3,1,1,1
Q103_C4,0,0,0
Q103_C5,0,0,0
Q103_C6,0,0,0
Q103_C7,1,1,1
Q104_C1,0,0,0
Q104_C2,0,0,0
Q104_C3,0,0,0
Q104_C4,0,0,0
Q104_C5,0,0,0
Q104_C6,0,0,0
Q104_C7,0,0,0
Q105_C1,0,0,0
Q105_C2,0,0,0
Q105_C3,0,0,0
Q105_C4,0,0,0
Q105_C5,0,0,0
Q106_C1,0,0,0
Q106_C2,0,0,0
Q106_C3,1,1,1
Q106_C4,0,0,0
Q106_C5,0,0,0
Q106_C6,1,1,1
Q107_C1,0,0,0
Q107_C2,0,0,0
Q107_C3,0,0,0
Q107_C4,0,0,0
Q107_C5,0,0,0
Q108_C1,0,0,0
Q108_C2,0,0,0
Q108_C3,0,0,0
Q109_C1,0,0,0
Q109_C2,0,0,0
Q109_C3,0,0,0
Q109_C4,0.2754878484,0.2844414554,0.2759507598
Q109_C5,0,0,0
Q109_C6,1,1,1
Q109_C7,0,0,0
Q110_C1,0,0,0
Q110_C2,1,1,1
Q110_C3,0,0,0
Q110_C4,0,0,0
Q111_C1,0,0,0
Q111_C2,0,0,0
Q111_C3,0,0,0
Q112_C1,0,0,0
Q113_C1,0,0,0
Q113_C2,0,0,0
Q113_C3,0,0,0
Q113_C4,0,0,0
Q114_C1,0,0,0
Q115_C1,0,0,0
Q115_C2,0,0,0
Q115_C3,0,0,0
Q115_C4,0,0,0
Q116_C1,0,0,0
Q116_C2,0,0,0
Q117_C1,0,0,0
Q117_C2,0.2816089016,0.2865700842,0.2829762956
Q117_C3,0.2816089016,0.2865700842,0.2829762956
Q117_C4,0,0,0
Q117_C5,0,0,0
Q117_C6,0,0,0
Q117_C7,0,0,0
Q117_C8,0,0,0
Q117_C9,0,0,0
Q117_C10,0,0,0
Q117_C11,0,0,0
Q117_C12,0,0,0
Q117_C13,0,0,0
Q117_C14,0.2816089016,0.2865700842,0.2829762956
Q117_C15,0.7183910984,0.7134299158,0.7170237044
Q117_C16,1,1,1
Q117_C17,0.6817833737,0.6798633476,0.6816119801
Q117_C18,0,0,0
Q117_C19,0.2816089016,0.2865700842,0.2829762956
Q117_C20,0,0,0
Q117_C21,0,0,0
Q117_C22,0.2816089016,0.2865700842,0.2829762956
Q117_C23,0.2816089016,0.2865700842,0.2829762956
Q117_C24,0.2816089016,0.2865700842,0.2829762956
Q117_C25,0,0,0
Q117_C26,0,0,0
Q117_C27,0.2816089016,0.2865700842,0.2829762956
Q117_C28,0,0,0
Q117_C29,0.2816089016,0.2865700842,0.2829762956
Q117_C30,0,0,0
Q117_C31,0,0,0
Q117_C32,0.2816089016,0.2865700842,0.2829762956
Q117_C33,0.4001744721,0.3932932634,0.3986356845
Q117_C34,0.2816089016,0.2865700842,0.2829762956
Q117_C35,0,0,0
Q117_C36,0,0,0
Q117_C37,0,0,0
Q117_C38,0.2816089016,0.2865700842,0.2829762956
Q117_C39,0.2816089016,0.2865700842,0.2829762956
Q117_C40,0,0,0
Q117_C41,0,0,0
Q117_C42,0,0,0
Q117_C43,0,0,0
Q117_C44,0.3182166263,0.3201366524,0.3183880199
Q117_C45,0.3182166263,0.3201366524,0.3183880199
Q117_C46,0.2095320859,0.2180142808,0.2042748112
Q117_C47,0,0,0
Q117_C48,0,0,0
Q117_C49,0,0,0
Q117_C50,0.2816089016,0.2865700842,0.2829762956
Q117_C51,0,0,0
Q117_C52,0,0,0
Q118_C1,0,0,0
Q118_C2,0,0,0
Q118_C3,0,0,0
Q118_C4,0,0,0
Q118_C5,0,0,0
Q118_C6,0,0,0
Q119_C1,0,0,0
Q119_C2,0,0,0
Q119_C3,0,0,0
Q119_C4,0,0,0
Q119_C5,0,0,0
Q120_C1,0,0,0
Q120_C2,0,0,0
Q120_C3,0,0,0
Q120_C4,0,0,0
Q120_C5,0,0,0
Q120_C6,0,0,0
Q120_C7,0,0,0
Q120_C8,0,0,0
Q121_C1,0,0,0
Q122_C1,0,0,0
Q122_C2,0,0,0
Q122_C3,0,0,0
Q122_C4,1,1,1
Q122_C5,0.4948122592,0.4953666951,0.493626976
Q122_C6,0,0,0
Q123_C1,0,0,0
Q123_C2,0,0,0
Q123_C3,0,0,0
Q123_C4,0,0,0
Q123_C5,0,0,0
Q123_C6,0,0,0
Q123_C7,0,0,0
Q124_C1,0,0,0
Q124_C2,0,0,0
Q124_C3,0,0,0
Q125_C1,1,1,1
Q125_C2,1,1,1
Q125_C3,0,0,0
Q125_C4,0.6663623931,0.6591872661,0.6640567481
Q125_C5,0.3336376069,0.3408127339,0.3359432519
Q125_C6,1,1,1
Q125_C7,0,0,0
Q125_C8,0,0,0
Q125_C9,0,0,0
Q125_C10,1,1,1
Q125_C11,0.6663623931,0.6591872661,0.6640567481
Q125_C12,1,1,1
Q125_C13,1,1,1
Q125_C14,0.3336376069,0.3408127339,0.3359432519
Q125_C15,1,1,1
Q125_C16,1,1,1
Q125_C17,1,1,1
Q125_C18,0,0,0
Q126_C1,0,0,0
Q126_C2,0,0,0
Q127_C1,0,0,0
Q127_C2,0,0,0
Q127_C3,0,0,0
Q127_C4,0,0,0
Q128_C1,0,0,0
Q129_C1,0,0,0
Q129_C2,0,0,0
Q129_C3,0,0,0
Q129_C4,0,0,0
Q129_C5,0,0,0
Q130_C1,1,1,1
Q130_C2,0.6658353809,0.6497986686,0.6583479478
Q130_C3,0,0,0
Q130_C4,0.3341646191,0.3502013314,0.3416520522
Q130_C5,0.6658353809,0.6497986686,0.6583479478
Q130_C6,0,0,0
Q130_C7,0,0,0
Q130_C8,0,0,0
Q131_C1,0,0,0
Q131_C2,0,0,0
Q131_C3,0,0,0
Q131_C4,0.7830656122,0.7668501318,0.7761267572
Q131_C5,0.7830656122,0.7668501318,0.7761267572
Q131_C6,0,0,0
Q131_C7,0.7830656122,0.7668501318,0.7761267572
Q131_C8,0.2169343878,0.2331498682,0.2238732428
Q131_C9,0,0,0
Q131_C10,0.7830656122,0.7668501318,0.7761267572
Q131_C11,0,0,0
Q131_C12,0.7830656122,0.7668501318,0.7761267572
Q131_C13,0.2169343878,0.2331498682,0.2238732428
Q131_C14,0.7830656122,0.7668501318,0.7761267572
Q131_C15,0,0,0
Q131_C16,0.7830656122,0.7668501318,0.7761267572
Q131_C17,1,1,1
Q131_C18,0.7830656122,0.7668501318,0.7761267572
Q131_C19,0.2169343878,0.2331498682,0.2238732428
Q131_C20,0.7830656122,0.7668501318,0.7761267572
Q131_C21,0,0,0
Q131_C22,0.2169343878,0.2331498682,0.2238732428
Q131_C23,0.7830656122,0.7668501318,0.7761267572
Q131_C24,1,1,1
Q131_C25,0.2169343878,0.2331498682,0.2238732428
Q131_C26,0.2169343878,0.2331498682,0.2238732428
Q131_C27,0,0,0
Q131_C28,0.7830656122,0.7668501318,0.7761267572
Q131_C29,0,0,0
Q131_C30,0,0,0
Q131_C31,0,0,0
Q132_C1,0.2290318447,0.238498686,0.2289001857
Q132_C2,0,0,0
Q132_C3,0.5022909874,0.5020687954,0.5003033968
Q132_C4,0,0,0
Q132_C5,0.5022909874,0.5020687954,0.5003033968
Q132_C6,0,0,0
Q132_C7,1,1,1
Q132_C8,0,0,0
Q132_C9,0,0,0
Q132_C10,0.2290318447,0.238498686,0.2289001857
Q132_C11,0,0,0
Q132_C12,0,0,0
Q132_C13,0.2290318447,0.238498686,0.2289001857
Q132_C14,0.4977090126,0.4979312046,0.4996966032
Q132_C15,0,0,0
Q132_C16,0,0,0
Q132_C17,0.5022909874,0.5020687954,0.5003033968
Q133_C1,0,0,0
Q133_C2,0,0,0
Q133_C3,0,0,0
Q134_C1,0,0,0
Q134_C2,0,0,0
Q134_C3,0,0,0
Q135_C1,0,0,0
Q135_C2,0,0,0
Q135_C3,0,0,0
Q135_C4,0,0,0
Q135_C5,0,0,0
Q135_C6,0,0,0
Q136_C1,1,1,1
Q136_C2,0,0,0
Q136_C3,0,0,0
Q137_C1,0,0,0
Q138_C1,0,0,0
Q139_C1,1,1,1
Q139_C2,0,0,0
Q139_C3,0,0,0
Q139_C4,0,0,0
Q140_C1,0,0,0
Q141_C1,0,0,0
Q142_C1,0,0,0
Q143_C1,0,0,0
Q143_C2,0,0,0
Q143_C3,0,0,0
Q143_C4,0,0,0
Q143_C5,0,0,0
Q144_C1,0,0,0
Q145_C1,0.4461201848,0.4513468426,0.446426491
Q145_C2,0,0,0
Q145_C3,0,0,0
Q145_C4,0,0,0
Q145_C5,1,1,1
Q145_C6,1,1,1
Q145_C7,1,1,1
Q145_C8,1,1,1
Q145_C9,1,1,1
Q145_C10,0,0,0
Q145_C11,1,1,1
Q145_C12,0.5538798152,0.5486531574,0.553573509
Q145_C13,0,0,0
Q146_C1,0,0,0
Q146_C2,0,0,0
Q146_C3,0.7566152891,0.7794763713,0.7699815787
Q146_C4,0,0,0
Q146_C5,0.6514723637,0.6816258669,0.6654347698
Q146_C6,0,0,0
Q146_C7,0,0,0
Q146_C8,0,0,0
Q146_C9,0,0,0
Q146_C10,1,1,1
Q146_C11,0.3468607668,0.3806849701,0.3566642942
Q146_C12,0,0,0
Q146_C13,0,0,0
Q146_C14,0,0,0
Q146_C15,0,0,0
Q146_C16,0,0,0
Q146_C17,0.6514723637,0.6816258669,0.6654347698
Q146_C18,0,0,0
Q146_C19,0,0,0
Q147_C1,0,0,0
Q147_C2,0,0,0
Q147_C3,0,0,0
Q147_C4,0,0,0
Q147_C5,0,0,0
Q147_C6,0,0,0
Q147_C7,0,0,0
Q148_C1,0,0,0
Q148_C2,0,0,0
Q148_C3,0,0,0
Q148_C4,0,0,0
Q148_C5,0,0,0
Q148_C6,0.6732550307,0.7020803593,0.6783149174
Q148_C7,0.6732550307,0.7020803593,0.6783149174
Q148_C8,0,0,0
Q148_C9,0.6732550307,0.7020803593,0.6783149174
Q148_C10,0.2126119489,0.2399371591,0.2203090696
Q148_C11,0,0,0
Q148_C12,1,1,1
Q148_C13,0,0,0
Q148_C14,0,0,0
Q148_C15,0,0,0
Q148_C16,0,0,0
Q149_C1,0,0,0
Q149_C2,0,0,0
Q149_C3,0,0,0
Q149_C4,1,1,1
Q149_C5,0,0,0
Q150_C1,1,1,1
Q150_C2,0.3987571632,0.4011387611,0.4016488032
Q150_C3,0,0,0
Q150_C4,0.3987571632,0.4011387611,0.4016488032
Q150_C5,0,0,0
Q150_C6,0.6012428368,0.5988612389,0.5983511968
Q150_C7,0,0,0
Q150_C8,0,0,0
Q150_C9,0,0,0
Q150_C10,0.6012428368,0.5988612389,0.5983511968
Q151_C1,0,0,0
Q151_C2,0,0,0
Q151_C3,0,0,0
Q151_C4,1,1,1
Q151_C5,0,0,0
Q152_C1,0,0,0
Q152_C2,0.6545839749,0.648363754,0.6549551353
Q152_C3,0,0,0
Q152_C4,0,0,0
Q152_C5,0.6545839749,0.648363754,0.6549551353
Q152_C6,0,0,0
Q152_C7,0,0,0
Q152_C8,1,1,1
Q152_C9,0.6545839749,0.648363754,0.6549551353
Q152_C10,0,0,0
Q152_C11,0,0,0
Q153_C1,0.5370146291,0.5332543697,0.5366539624
Q153_C2,0,0,0
Q153_C3,0,0,0
Q153_C4,0,0,0
Q153_C5,1,1,1
Q153_C6,0.2036629649,0.2146534224,0.2045098645
Q153_C7,0,0,0
Q153_C8,0,0,0
Q153_C9,0,0,0
